index,Title,Summary
1,Why Exercise?,"Exercise can improve mental function, reduce your risk of chronic disease and help you lose weight."
2,Common Types of Exercise,"Common types of exercise include aerobic, strength, calisthenics, HIIT, boot camps, flexibility and stability. You can do them individually or combined."
3,How to Get Started,"Before you start working out, get a health check-up and make a plan with realistic goals. Then, make exercise a habit by incorporating it into your daily routine."
4,How Much Exercise Should You Do?,"The minimum recommendation for exercise is at least 150 minutes per week. However, it is important to start slowly and let your body rest from time to time."
5,One-Week Sample Exercise Program,"There are a variety of exercises you can do, and the plan above is just one example to help get you started working out."
6,A Few Tips for Beginners,"Be sure to stay hydrated, eat a balanced diet, warm up before exercising, cool down afterward and listen to your body."
7,How to Stay Motivated,"To maintain your motivation, mix up your workouts, join a gym or team sport and track your progress."
8,The Bottom Line,"Before you start working out, get a health check-up and make a plan with realistic goals. Then, make exercise a habit by incorporating it into your daily routine."
9,Benefits of cardio,"Walking and running are both aerobic cardiovascular, or “cardio” exercise. Some of the health benefits of cardio include:

helps you lose weight or maintain a healthy weight
increases stamina
boosts immune system
helps prevent or manage chronic conditions
strengthens your heart
can extend your life"
10,Is walking better than running?,Walking can provide a lot of the same benefits of running. But running burns nearly double the number of calories as walking.
11,Benefits vs. risks,"Running is a great way to get in shape and lose weight. But it’s a high-impact exercise. High-impact workouts can be harder on your body than low-impact exercises like walking.

Over time, running may lead to common overuse injuries such as:

stress fractures
shin splints
ITB friction syndrome"
12,How Running Helps You Lose Weight,"Running is an incredibly popular way to exercise.

Running is also linked to many health benefits, and is one of the best types of exercise to help you lose weight"
13,There Are Many Types of Running,"There are many types of runs, each with their own purpose and benefits. Normal runs are considered base runs."
14,It Burns More Calories Than Most Exercises,Running is an excellent choice of exercise for weight loss because it burns more calories than many alternatives.
15,High-Intensity Running Continues to Burn Calories After Exercise,"High-intensity running like sprints, intervals and hill runs can continue to burn calories long after a workout due to the “afterburn effect.”"
16,High-Intensity Running Suppresses Appetite and Helps You Eat Less,Running may help you lose weight by lowering the production of hunger hormones and increasing the production of satiety hormones.
17,Moderate-to-High Intensity Running Targets Harmful Belly Fat,"Many studies have found that moderate-to-high intensity aerobic exercise like running targets harmful belly fat, even without dietary changes."
18,Running Has Many Other Benefits for Health,"Along with weight loss, running can provide various health benefits, including a lower risk of heart disease, reduced blood sugar, lower cataracts risk, lower falls risk, stronger knees and less knee pain."
19,How to Get Started,"Running is easy to begin and requires minimal equipment. A beginner should aim to run for 30 minutes 3 or 4 days a week, including 5 minutes of warming up and cooling down."
20,Sample Running Plan,"A beginner’s running plan should alternate between running and walking. As you progress, increase the time spent running weekly or decrease the time spent walking between runs."
21,How to Stay Motivated,Changing your workouts often or running with a friend can make your routine fun and help you to stay motivated long-term.
22,Regular Exercise Can Make You Feel Happier,Exercising regularly can improve your mood and reduce feelings of anxiety and depression.
23,Regular Exercise Can Help With Weight Loss,Exercise is crucial to supporting a fast metabolism and burning more calories per day. It also helps you maintain your muscle mass and weight loss.
24,Regular Exercise Is Good for Your Muscles and Bones,Physical activity helps you build muscles and strong bones. It may also help prevent osteoporosis.
25,Regular Exercise Can Increase Your Energy Levels,Engaging in regular physical activity can increase your energy levels. This is true even in people with persistent fatigue and those suffering from serious illnesses.
26,Regular Exercise Can Reduce Your Risk of Chronic Disease,
27,Regular Exercise Can Help Skin Health,"Moderate exercise can provide antioxidant protection and promote blood flow, which can protect your skin and delay signs of aging."
28,Regular Exercise Can Help Your Brain Health and Memory,"Regular exercise improves blood flow to the brain and helps brain health and memory. Among older adults, it can help protect mental function."
29,Regular Exercise Can Help With Relaxation and Sleep Quality,"Regular physical activity, regardless of whether it is aerobic or a combination of aerobic and resistance training, can help you sleep better and feel more energized during the day."
30,Regular Exercise Can Reduce Pain,Exercise has favorable effects on the pain that’s associated with various conditions. It can also increase pain tolerance.
31,Regular Exercise Can Promote a Better Sex Life,"Exercise can help improve sexual desire, function and performance in men and women. It can also help decrease the risk of erectile dysfunction in men."
32,What is cardio yoga?,"Unlike traditional yoga, which focuses on breathing techniques, body flow, and postures, cardio yoga incorporates more dynamic movements that ramp up the intensity and elevate your heart rate."
33,Weight loss,Performing cardio yoga can ramp up calorie burning and aid weight loss in combination with a low calorie diet.
34,Comparison with other cardio exercises,More intense versions of yoga like cardio yoga burn a similar number of calories as exercising on an elliptical at a moderate effort but fewer calories than jogging.
35,Calories burned hiking,The total calories you burn hiking depends mainly on your weight and the trail grade. Choosing a trail with a higher grade increases the number of calories burned per hour.
36,Hiking vs. walking and running,"The number of calories burned walking or running depends on your body weight and speed. In general, hiking burns fewer calories than running but more than walking."
37,Benefits of hiking,"Hiking may aid weight loss by increasing the number of calories you burn. Compared with indoor exercise, it’s associated with greater improvements in mental health."
38,Cut back on refined carbs,"Reducing sugars and starches, or carbs, from your diet can help curb your appetite, lower your insulin levels, and make you lose weight.

But the long-term effects of a low carb diet are not yet known. A reduced calorie diet could be more sustainable."
39,"Eat protein, fat, and vegetables","Assemble each meal out of a protein source, healthy fat source, complex carb, and vegetables.

Leafy green vegetables are a great way to bulk up a meal with low calories and lots of nutrients."
40,Move your body,"Resistance training, such as weightlifting, is a great option for losing weight. If that’s not possible, cardio workouts are also effective.

Choose what’s sustainable for you."
41,What about calories and portion control?,"Counting calories isn’t usually needed to lose weight on a low carb eating plan. But if you’re not losing weight or on a reduced calorie eating plan, calorie counting may help.
"
42,weight loss tips,"Eating whole foods, higher protein, soluble fiber, and less sugar can help you lose more weight. Don’t forget to get a good night’s sleep, too."
43,How fast will you lose weight?,"Significant weight can be lost on a low carb or low calorie diet, but the speed depends on the individual.

General weight loss can improve certain markers of health, such as blood sugar and cholesterol levels."
44,"Drink Water, Especially Before Meals","It is often claimed that drinking water can help with weight loss — and that’s true.

Drinking water can boost metabolism by 24–30% over a period of 1–1.5 hours, helping you burn off a few more calories"
45,Eat Eggs For Breakfast,"Eating whole eggs can have all sorts of benefits, including helping you lose weight."
46,Drink Coffee (Preferably Black),Coffee has been unfairly demonized. Quality coffee is loaded with antioxidants and can have numerous health benefits.
47,Drink Green Tea,"Like coffee, green tea also has many benefits, one of them being weight loss.

Though green tea contains small amounts of caffeine, it is loaded with powerful antioxidants called catechins, which are believed to work synergistically with caffeine to enhance fat burning "
48,Try Intermittent Fasting,Intermittent fasting is a popular eating pattern in which people cycle between periods of fasting and eating.
49,Take a Glucomannan Supplement,"A fiber called glucomannan has been linked to weight loss in several studies.

This type of fiber absorbs water and sits in your gut for a while, making you feel more full and helping you eat fewer calories"
50,Cut Back on Added Sugar,Added sugar is one of the worst ingredients in the modern diet. Most people consume way too much.
51,Eat Less Refined Carbs,"Refined carbohydrates include sugar and grains that have been stripped of their fibrous, nutritious parts. These include white bread and pasta."
52,Go on a Low-Carb Diet,"If you want to get all the benefits of carb restriction, then consider going all the way and committing to a low-carb diet."
53,Use Smaller Plates,Using smaller plates has been shown to help some people automatically eat fewer calories
54,Exercise Portion Control or Count Calories ,"Portion control — simply eating less — or counting calories can be very useful, for obvious reasons"
55,Keep Healthy Food Around in Case You Get Hungry,"Keeping healthy food nearby can help prevent you from eating something unhealthy if you become excessively hungry.

Snacks that are easily portable and simple to prepare include whole fruits, nuts, baby carrots, yogurt and hard-boiled eggs."
56,Take Probiotic Supplements,"Taking probiotic supplements containing bacteria of the Lactobacillus subfamily have been shown to reduce fat mass .

However, the same doesn’t apply to all Lactobacillus species. Some studies have linked L. acidophilus with weight gain"
